DATE,RSXFS
1992-01-01,146913
1992-02-01,147270
1992-03-01,146831
1992-04-01,148082
1992-05-01,149015
1992-06-01,149821
1992-07-01,150809
1992-08-01,151064
1992-09-01,152595
1992-10-01,153577
1992-11-01,153605
1992-12-01,155504
1993-01-01,157525
1993-02-01,156292
1993-03-01,154774
1993-04-01,158996
1993-05-01,160624
1993-06-01,160171
1993-07-01,162832
1993-08-01,162491
1993-09-01,163285
1993-10-01,164711
1993-11-01,166593
1993-12-01,168101
1994-01-01,167504
1994-02-01,169652
1994-03-01,172775
1994-04-01,173099
1994-05-01,172340
1994-06-01,174307
1994-07-01,174801
1994-08-01,177289
1994-09-01,178776
1994-10-01,180569
1994-11-01,180695
1994-12-01,181492
1995-01-01,182423
1995-02-01,179472
1995-03-01,180996
1995-04-01,181702
1995-05-01,183543
1995-06-01,186088
1995-07-01,185470
1995-08-01,186814
1995-09-01,187338
1995-10-01,186546
1995-11-01,189052
1995-12-01,190809
1996-01-01,189167
1996-02-01,192269
1996-03-01,193993
1996-04-01,194712
1996-05-01,196210
1996-06-01,196127
1996-07-01,196229
1996-08-01,196215
1996-09-01,198843
1996-10-01,200488
1996-11-01,200200
1996-12-01,201191
1997-01-01,202414
1997-02-01,204273
1997-03-01,204965
1997-04-01,203372
1997-05-01,201676
1997-06-01,204666
1997-07-01,207049
1997-08-01,207643
1997-09-01,208298
1997-10-01,208064
1997-11-01,208982
1997-12-01,209379
1998-01-01,209684
1998-02-01,209532
1998-03-01,210792
1998-04-01,213623
1998-05-01,214619
1998-06-01,216324
1998-07-01,214853
1998-08-01,213669
1998-09-01,215712
1998-10-01,219465
1998-11-01,221150
1998-12-01,223226
1999-01-01,224020
1999-02-01,226240
1999-03-01,227407
1999-04-01,228978
1999-05-01,231238
1999-06-01,231926
1999-07-01,233933
1999-08-01,236589
1999-09-01,237516
1999-10-01,237560
1999-11-01,240462
1999-12-01,245498
2000-01-01,243483
2000-02-01,247133
2000-03-01,249847
2000-04-01,245789
2000-05-01,246225
2000-06-01,248178
2000-07-01,247184
2000-08-01,247601
2000-09-01,251812
2000-10-01,251267
2000-11-01,250225
2000-12-01,250603
2001-01-01,252736
2001-02-01,252730
2001-03-01,250346
2001-04-01,254759
2001-05-01,255262
2001-06-01,254020
2001-07-01,253015
2001-08-01,254570
2001-09-01,249856
2001-10-01,268072
2001-11-01,260363
2001-12-01,256552
2002-01-01,256376
2002-02-01,257677
2002-03-01,257060
2002-04-01,261320
2002-05-01,257616
2002-06-01,259815
2002-07-01,262811
2002-08-01,264975
2002-09-01,260650
2002-10-01,262011
2002-11-01,263559
2002-12-01,265802
2003-01-01,267276
2003-02-01,263199
2003-03-01,267842
2003-04-01,267240
2003-05-01,267347
2003-06-01,270432
2003-07-01,273393
2003-08-01,277901
2003-09-01,276413
2003-10-01,274779
2003-11-01,278322
2003-12-01,277567
2004-01-01,278884
2004-02-01,280966
2004-03-01,286232
2004-04-01,282971
2004-05-01,288250
2004-06-01,284146
2004-07-01,287341
2004-08-01,287909
2004-09-01,293177
2004-10-01,295055
2004-11-01,296178
2004-12-01,299766
2005-01-01,296957
2005-02-01,300511
2005-03-01,301020
2005-04-01,304180
2005-05-01,301708
2005-06-01,310946
2005-07-01,313634
2005-08-01,309881
2005-09-01,310350
2005-10-01,310701
2005-11-01,313253
2005-12-01,313528
2006-01-01,322377
2006-02-01,320238
2006-03-01,320996
2006-04-01,322739
2006-05-01,321647
2006-06-01,323025
2006-07-01,324319
2006-08-01,325147
2006-09-01,323013
2006-10-01,322614
2006-11-01,323362
2006-12-01,327208
