2018-04-13 08:14:22,,61,367,This is Paul Ryan. Exactly. 100%. Fuck Paul Ryan. https://t.co/MYxN9jOas8,"[[[-74.988897, 39.810025], [-74.908642, 39.810025], [-74.908642, 39.87514], [-74.988897, 39.87514]]]","Voorhees, NJ",United States,US,city
2018-04-13 08:01:58,"Long Island, NY",3656,3549,"There's a video from the Daily Show (Comedy Central) you'll want to see.
https://t.co/wjKUW9wBXo","[[[-79.76259, 40.477383], [-71.777492, 40.477383], [-71.777492, 45.015851], [-79.76259, 45.015851]]]","New York, USA",United States,US,admin
2018-04-13 07:48:16,Alameda Ca,2304,2917,"@SallyAlbright First of all, discrediting the FBI is disgusting and borderline treasonous.  Secondly, I wonder if t… https://t.co/BdnZrBCKhq","[[[-122.332411, 37.720367], [-122.224562, 37.720367], [-122.224562, 37.797229], [-122.332411, 37.797229]]]","Alameda, CA",United States,US,city
2018-04-13 07:45:37,"San Francisco, CA",52,876,Paul Ryan is a coward and a piece of shit! Good riddance! Now if the rest of the pieces of shit in that party would… https://t.co/kRCeUl3zej,"[[[-121.6919801, 36.643802], [-121.5905572, 36.643802], [-121.5905572, 36.7344965], [-121.6919801, 36.7344965]]]","Salinas, CA",United States,US,city
2018-04-13 07:30:20,"Greenville, SC",833,4367,@robreiner Paul Ryan realized he could not forever serve 2 gods-- that dual self-serving gospels would inevitably c… https://t.co/jaTMhFHDnR,"[[[-82.465548, 34.708643], [-82.418761, 34.708643], [-82.418761, 34.751491], [-82.465548, 34.751491]]]","Golden Grove, SC",United States,US,city
2018-04-13 07:30:09,Chicago,250,606,"Yeah, but I don’t think #paul ryan has it in him, unfortunately #Wisconsin @journalsentinel https://t.co/WcCc76i3wl","[[[-87.940033, 41.644102], [-87.523993, 41.644102], [-87.523993, 42.0230669], [-87.940033, 42.0230669]]]","Chicago, IL",United States,US,city
2018-04-13 07:20:35,"California, USA",417,494,"Paul Ryan tax cut = 
Tax Scam on working AMERICANS https://t.co/Cu0oVFrXn9","[[[-118.043083, 33.720269], [-117.944373, 33.720269], [-117.944373, 33.774358], [-118.043083, 33.774358]]]","Westminster, CA",United States,US,city
2018-04-13 07:08:24,"Atlanta, GA",2100,2287,I feel so old knowing Paul DamienTheOmen Ryan is retiring. Seems like just the other day he went to military school… https://t.co/Pb4RL5q3fi,"[[[-84.620272, 33.7698188], [-84.506557, 33.7698188], [-84.506557, 33.852813], [-84.620272, 33.852813]]]","Mableton, GA",United States,US,city
2018-04-13 07:00:44,"Marthas Vineyard, NYC, Florida",574,306,"Scathing but true.

The Paul Ryan Story: From Flimflam to Fascism https://t.co/FnbYQl4NC9","[[[-70.58236, 41.37688], [-70.504981, 41.37688], [-70.504981, 41.414057], [-70.58236, 41.414057]]]","Edgartown, MA",United States,US,city
2018-04-13 06:53:30,"Wayland, MA",105,574,Clearly I am no Paul Ryan fan but why does anyone think he will stand up to this administration now that he is “fre… https://t.co/8fFnVdSAaz,"[[[-71.398124, 42.328345], [-71.328776, 42.328345], [-71.328776, 42.412803], [-71.398124, 42.412803]]]","Wayland, MA",United States,US,city
2018-04-13 06:33:25,The Minneapolis! Uptown!,972,2528,@jonallendc Read the fucking book about the disease! The Sociopath Next Door by Martha Stout it explains the disord… https://t.co/QfhRd3yb90,"[[[-93.329515, 44.889964], [-93.194578, 44.889964], [-93.194578, 45.051257], [-93.329515, 45.051257]]]","Minneapolis, MN",United States,US,city
2018-04-13 06:16:00,Amphoe Mueang Chon Buri,2465,4999,@realDonaldTrump https://t.co/eFxIoQEDyw Day 176.2. Paul Ryan - No More Cover For Awans (44:33),"[[[100.6631192, 12.771393], [101.1026886, 12.771393], [101.1026886, 13.0866518], [100.6631192, 13.0866518]]]","Amphoe Bang Lamung, Changwat Chon Buri",Thailand,TH,admin
2018-04-13 06:03:33,"Louisiana, USA",90,486,@RawStory @MeghanMcCain PS Paul Ryan is dangerous. I’ve been paying for Social Security since my first job teaching… https://t.co/VPgStkcxeQ,"[[[-91.218994, 30.354161], [-90.962605, 30.354161], [-90.962605, 30.5640391], [-91.218994, 30.5640391]]]","Baton Rouge, LA",United States,US,city
