DATE,CLOSE,SPREAD,VOLUME,UNEMP %,OIL PRICE,NEW HOMES,NEW CARS SOLD,RETAIL SALES,FED INTRST %,CSI
1992-01-01,3223.399902,159.87988200000018,561160000.0,7.3,18.16,1176.0,12.6,146913.0,4.03,67.5
1992-02-01,3267.699951,85.41992199999959,411150000.0,7.4,18.05,1250.0,12.9,147270.0,4.06,68.8
1992-03-01,3235.5,111.35986400000002,402410000.0,7.4,17.63,1297.0,12.8,146831.0,3.98,76.0
1992-04-01,3359.100098,205.27001999999993,458300000.0,7.4,18.92,1099.0,12.6,148082.0,3.73,77.2
1992-05-01,3396.899902,116.64990200000011,388240000.0,7.6,19.89,1214.0,13.1,149015.0,3.82,79.2
1992-06-01,3318.5,168.22998000000007,475360000.0,7.8,21.16,1145.0,13.5,149821.0,3.76,80.4
1992-07-01,3393.8000490000004,136.429932,449770000.0,7.7,20.24,1139.0,12.9,150809.0,3.25,76.6
1992-08-01,3257.399902,192.88989200000015,363380000.0,7.6,19.74,1226.0,12.9,151064.0,3.3,76.1
1992-09-01,3271.699951,133.72998000000007,436570000.0,7.6,20.27,1186.0,13.4,152595.0,3.22,75.6
1992-10-01,3226.300049,185.0600589999999,530760000.0,7.3,20.26,1244.0,13.7,153577.0,3.1,73.3
1992-11-01,3305.199951,123.73999000000003,452340000.0,7.4,19.21,1214.0,13.2,153605.0,3.09,85.3
1992-12-01,3301.110107,104.55004899999994,510650000.0,7.4,18.14,1227.0,13.8,155504.0,2.92,91.0
1993-01-01,3310.0,88.8801269999999,620010000.0,7.3,17.39,1210.0,13.5,157525.0,3.02,89.3
1993-02-01,3370.8100590000004,189.92993099999967,577510000.0,7.1,18.47,1210.0,13.0,156292.0,3.03,86.6
1993-03-01,3435.110107,138.86010700000043,586100000.0,7.0,18.79,1083.0,13.3,154774.0,3.07,85.9
1993-04-01,3427.5500490000004,117.79003899999998,645990000.0,7.1,18.67,1258.0,14.5,158996.0,2.96,85.6
1993-05-01,3527.429932,149.73999000000003,472660000.0,7.1,18.51,1260.0,14.5,160624.0,3.0,80.3
1993-06-01,3516.080078,107.12011700000039,461140000.0,7.0,17.65,1280.0,14.5,160171.0,3.04,81.5
1993-07-01,3539.469971,133.6000979999999,500980000.0,6.9,16.78,1254.0,14.5,162832.0,3.06,77.0
1993-08-01,3651.25,126.87011699999994,526610000.0,6.8,16.7,1300.0,13.6,162491.0,3.03,77.3
1993-09-01,3555.1201170000004,148.65991199999962,487790000.0,6.7,16.01,1343.0,14.0,163285.0,3.09,77.9
1993-10-01,3680.5900880000004,155.100097,529130000.0,6.8,16.61,1392.0,14.9,164711.0,2.99,82.7
1993-11-01,3683.9499509999996,117.09008799999992,576680000.0,6.6,15.2,1376.0,14.9,166593.0,3.02,81.2
1993-12-01,3754.0900880000004,114.85986299999968,517250000.0,6.5,13.73,1533.0,15.0,168101.0,2.96,88.2
1994-01-01,3978.360107,243.14990199999966,619530000.0,6.6,14.29,1272.0,15.4,167504.0,3.05,94.3
1994-02-01,3832.0200200000004,350.0,508560000.0,6.6,13.8,1337.0,15.5,169652.0,3.25,93.2
1994-03-01,3635.959961,336.84985299999926,667490000.0,6.5,13.82,1564.0,15.3,172775.0,3.34,91.5
1994-04-01,3681.6899409999996,158.3701170000004,566680000.0,6.4,15.23,1465.0,16.0,173099.0,3.56,92.6
1994-05-01,3758.3701170000004,149.6899410000001,533470000.0,6.1,16.19,1526.0,14.6,172340.0,4.01,92.8
1994-06-01,3624.959961,212.98999099999992,554560000.0,6.1,16.76,1409.0,15.1,174307.0,4.25,91.2
1994-07-01,3764.5,146.9799799999996,450610000.0,6.1,17.6,1439.0,14.9,174801.0,4.26,89.0
1994-08-01,3913.419922,202.98999000000003,625170000.0,6.0,16.89,1450.0,15.4,177289.0,4.47,91.7
1994-09-01,3843.1899409999996,172.32983399999966,591450000.0,5.9,15.9,1474.0,15.3,178776.0,4.73,91.5
1994-10-01,3908.1201170000004,201.8701170000004,636250000.0,5.8,16.49,1450.0,15.9,180569.0,4.76,92.7
1994-11-01,3739.2299799999996,269.1501460000004,613270000.0,5.6,17.19,1511.0,15.9,180695.0,5.29,91.6
1994-12-01,3834.4399409999996,211.28979500000014,543610000.0,5.5,15.93,1455.0,15.6,181492.0,5.45,95.1
1995-01-01,3843.860107,119.45996100000002,615760000.0,5.6,16.55,1407.0,14.8,182423.0,5.53,97.6
1995-02-01,4011.0500490000004,189.820068,576090000.0,5.4,17.11,1316.0,14.9,179472.0,5.92,95.1
1995-03-01,4157.689941,253.14990300000045,702540000.0,5.4,17.01,1249.0,15.3,180996.0,5.98,90.3
1995-04-01,4321.27002,172.56982400000015,547570000.0,5.8,18.65,1267.0,14.4,181702.0,6.05,92.5
1995-05-01,4465.140136999999,163.58007799999905,689940000.0,5.6,18.35,1314.0,14.8,183543.0,6.01,89.8
1995-06-01,4556.100098,186.41015700000025,641520000.0,5.6,17.31,1281.0,15.4,186088.0,6.0,92.7
1995-07-01,4708.470215,195.95996099999957,665580000.0,5.7,15.85,1461.0,14.7,185470.0,5.85,94.4
1995-08-01,4610.560059,184.10986299999968,623030000.0,5.7,16.1,1416.0,15.4,186814.0,5.74,96.2
1995-09-01,4789.080078,209.5102540000007,707190000.0,5.6,16.7,1369.0,15.3,187338.0,5.8,88.9
1995-10-01,4755.47998,157.15966799999933,685570000.0,5.5,16.11,1369.0,14.9,186546.0,5.76,90.2
1995-11-01,5074.490234000001,374.29003900000043,598970000.0,5.6,16.86,1452.0,15.4,189052.0,5.8,88.2
1995-12-01,5117.120117,183.89013700000032,601160000.0,5.6,17.93,1431.0,16.3,190809.0,5.6,91.0
1996-01-01,5395.299805,394.1499020000001,851030000.0,5.6,17.85,1467.0,14.8,189167.0,5.56,89.3
1996-02-01,5485.620117,311.060058,769130000.0,5.5,18.0,1491.0,15.6,192269.0,5.22,88.5
1996-03-01,5587.140136999999,285.77001999999993,831070000.0,5.5,19.85,1424.0,16.0,193993.0,5.31,93.7
1996-04-01,5569.080078,282.1601559999999,756530000.0,5.6,20.9,1516.0,15.5,194712.0,5.22,92.7
1996-05-01,5643.180176,453.89990299999954,801900000.0,5.6,19.15,1504.0,16.0,196210.0,5.24,89.4
1996-06-01,5654.629883,162.16015600000082,647790000.0,5.3,18.46,1467.0,15.3,196127.0,5.27,92.4
1996-07-01,5528.910156,550.9902350000002,781850000.0,5.5,19.57,1472.0,15.1,196229.0,5.4,94.7
1996-08-01,5616.209961,214.91992200000004,615820000.0,5.1,20.51,1557.0,15.5,196215.0,5.22,95.3
1996-09-01,5882.169922,368.43017599999985,649320000.0,5.2,22.63,1475.0,15.5,198843.0,5.3,94.7
