DATE,HOUST
1959-01-01,1657
1959-02-01,1667
1959-03-01,1620
1959-04-01,1590
1959-05-01,1498
1959-06-01,1503
1959-07-01,1547
1959-08-01,1430
1959-09-01,1540
1959-10-01,1355
1959-11-01,1416
1959-12-01,1601
1960-01-01,1460
1960-02-01,1503
1960-03-01,1109
1960-04-01,1289
1960-05-01,1271
1960-06-01,1247
1960-07-01,1197
1960-08-01,1344
1960-09-01,1097
1960-10-01,1246
1960-11-01,1246
1960-12-01,1063
1961-01-01,1183
1961-02-01,1226
1961-03-01,1312
1961-04-01,1166
1961-05-01,1228
1961-06-01,1382
1961-07-01,1335
1961-08-01,1312
1961-09-01,1429
1961-10-01,1415
1961-11-01,1385
1961-12-01,1365
1962-01-01,1361
1962-02-01,1278
1962-03-01,1443
1962-04-01,1524
1962-05-01,1483
1962-06-01,1404
1962-07-01,1450
1962-08-01,1517
1962-09-01,1324
1962-10-01,1533
1962-11-01,1622
1962-12-01,1564
1963-01-01,1244
1963-02-01,1456
1963-03-01,1534
1963-04-01,1689
1963-05-01,1641
1963-06-01,1588
1963-07-01,1614
1963-08-01,1639
1963-09-01,1763
1963-10-01,1779
1963-11-01,1622
1963-12-01,1491
1964-01-01,1603
1964-02-01,1820
1964-03-01,1517
1964-04-01,1448
1964-05-01,1467
1964-06-01,1550
1964-07-01,1562
1964-08-01,1569
1964-09-01,1455
1964-10-01,1524
1964-11-01,1486
1964-12-01,1484
1965-01-01,1361
1965-02-01,1433
1965-03-01,1423
1965-04-01,1438
1965-05-01,1478
1965-06-01,1488
1965-07-01,1529
1965-08-01,1432
1965-09-01,1482
1965-10-01,1452
1965-11-01,1460
1965-12-01,1656
1966-01-01,1370
1966-02-01,1378
1966-03-01,1394
1966-04-01,1352
1966-05-01,1265
1966-06-01,1194
1966-07-01,1086
1966-08-01,1119
1966-09-01,1046
1966-10-01,843
1966-11-01,961
1966-12-01,990
1967-01-01,1067
1967-02-01,1123
1967-03-01,1056
1967-04-01,1091
1967-05-01,1304
1967-06-01,1248
1967-07-01,1364
1967-08-01,1407
1967-09-01,1421
1967-10-01,1491
1967-11-01,1538
1967-12-01,1308
1968-01-01,1380
1968-02-01,1520
1968-03-01,1466
1968-04-01,1554
1968-05-01,1408
1968-06-01,1405
1968-07-01,1512
1968-08-01,1495
1968-09-01,1556
1968-10-01,1569
1968-11-01,1630
1968-12-01,1548
1969-01-01,1769
1969-02-01,1705
1969-03-01,1561
1969-04-01,1524
1969-05-01,1583
1969-06-01,1528
1969-07-01,1368
1969-08-01,1358
1969-09-01,1507
1969-10-01,1381
1969-11-01,1229
1969-12-01,1327
1970-01-01,1085
1970-02-01,1305
1970-03-01,1319
1970-04-01,1264
1970-05-01,1290
1970-06-01,1385
1970-07-01,1517
1970-08-01,1399
1970-09-01,1534
1970-10-01,1580
1970-11-01,1647
1970-12-01,1893
1971-01-01,1828
1971-02-01,1741
1971-03-01,1910
1971-04-01,1986
1971-05-01,2049
1971-06-01,2026
1971-07-01,2083
1971-08-01,2158
1971-09-01,2041
1971-10-01,2128
1971-11-01,2182
1971-12-01,2295
1972-01-01,2494
1972-02-01,2390
1972-03-01,2334
1972-04-01,2249
1972-05-01,2221
1972-06-01,2254
1972-07-01,2252
1972-08-01,2382
1972-09-01,2481
1972-10-01,2485
1972-11-01,2421
1972-12-01,2366
1973-01-01,2481
1973-02-01,2289
1973-03-01,2365
1973-04-01,2084
1973-05-01,2266
1973-06-01,2067
1973-07-01,2123
1973-08-01,2051
1973-09-01,1874
1973-10-01,1677
1973-11-01,1724
1973-12-01,1526
1974-01-01,1451
1974-02-01,1752
1974-03-01,1555
1974-04-01,1607
1974-05-01,1426
1974-06-01,1513
1974-07-01,1316
1974-08-01,1142
1974-09-01,1150
1974-10-01,1070
1974-11-01,1026
1974-12-01,975
1975-01-01,1032
